"Order ID",1,2,3,4,5
300094003,1,2,3,4,5
300093973,1,2,3,4,5
300093972,Completed,17.5,-0.48,17.02,
300093952,Completed,182.52,-3.62,178.9,
300093940,1,2,3,4,5
300093889,Completed,18,-0.49,17.51,
300093861,Completed,12.96,-0.45,12.51,
300093825,Completed,81,-1.69,79.31,
300093757,Completed,28,-0.73,27.27,
300093756,Completed,143.8,-2.93,140.87,
300093747,Completed,119.88,-2.43,117.45,
300093729,Completed,49.5,-1.09,48.41,
300093716,Completed,30.6,-0.78,29.82,
300093712,Completed,16.52,-0.46,16.06,
300093702,Denied,44,0,44,
300093693,Denied,55.98,0,55.98,
300093691,Denied,33,0,33,
300093678,Completed,95,-1.96,93.04,
300093653,Completed,80.55,-1.68,78.87,
300093632,Completed,95.04,-2.01,93.03,
300093621,Completed,45.76,-1.07,44.69,
300093617,Completed,200.95,-4.02,196.93,
300093608,Completed,193.12,-3.82,189.3,
300093591,Completed,13.61,-0.41,13.2,
300093590,Completed,24.3,-0.66,23.64,
300093572,Completed,62.1,-1.33,60.77,
300093559,Completed,192.9,-3.87,189.03,
300093556,Completed,339.75,-6.66,333.09,
300093553,Completed,11.66,-0.42,11.24,
300093547,Completed,65.9,-1.45,64.45,
300093538,Completed,67.15,-1.48,65.67,
300093524,Completed,58.5,-1.26,57.24,
300093522,"Partially Refunded",167,-3.37,163.63,
300093496,Completed,54.55,-1.24,53.31,
300093487,Completed,122.59,-2.53,120.06,
300093438,Completed,45.68,-1.07,44.61,
300093431,Completed,35.91,-0.88,35.03,
300093424,Completed,23.4,-0.59,22.81,
300093419,"Partially Refunded",380.5,-7.38,373.12,
300093418,Completed,69.5,-1.52,67.98,
300093339,Completed,44,-0.99,43.01,
300093318,Completed,177.67,-6.22,171.45,
300093285,Refunded,29,-0.7,28.3,
300093133,Completed,299,-5.83,293.17,
300093101,Completed,17,-0.6,16.4,
300093053,Completed,14.95,-0.48,14.47,
