 Invoice Number, Status, Gross, Fee, Net, Reserve
300098899,Completed,48,-1.35,46.65,
,Placed,-1.95,...,-1.95,
,Placed,-4.01,...,-4.01,
300098898,Completed,82,-1.76,80.24,
300098897,Completed,39.95,-0.91,39.04,
,Placed,-1.99,...,-1.99,
,Placed,-1.99,...,-1.99,
,Placed,-1.45,...,-1.45,
200000210,Refunded,40.8,-0.98,39.82,
200000209,Completed,40.8,-0.98,39.82,
,Placed,-10.98,...,-10.98,
300098896,Completed,224,-4.46,219.54,
300098895,Completed,29.7,-0.71,28.99,
,Placed,-2.29,...,-2.29,
300098894,Completed,46.8,-1.04,45.76,
,Placed,-1.02,...,-1.02,
,Placed,-1.09,...,-1.09,
,Completed,-6166.35,0,-6166.35,
300098893,Completed,20.95,-0.55,20.4,
300098892,Completed,22.36,-0.57,21.79,
,Placed,-2.06,...,-2.06,
300098891,Completed,42.07,-0.95,41.12,
,Placed,-0.73,...,-0.73,
300098890,Completed,15,-0.44,14.56,
,Placed,-1.86,...,-1.86,
,Placed,-5.37,...,-5.37,
200000208,Completed,38,-0.87,37.13,
300098889,Completed,109.6,-2.28,107.32,
,Placed,-2.93,...,-2.93,
,Placed,-25,...,-25,
300098888,Completed,60,-1.34,58.66,
,Completed,500,0,500,
,Placed,-1.55,...,-1.55,
300098887,Completed,32.13,-1.12,31.01,
,Placed,-4.04,...,-4.04,
300098886,Completed,82.5,-1.72,80.78,
,Placed,-2.8,...,-2.8,
300098885,Completed,58,-2.03,55.97,
,Completed,2.66,0,2.66,
,Completed,-139.97,2.66,-137.31,
,Completed,0.34,0,0.34,
,Completed,-18,0.34,-17.66,
,Completed,0.38,0,0.38,
,Completed,-20,0.38,-19.62,
,Completed,1.15,0,1.15,
,Completed,-48,1.15,-46.85,
,Completed,0.48,0,0.48,
,Completed,-25.5,0.48,-25.02,
,Completed,1.37,0,1.37,
,Completed,-72,1.37,-70.63,
,Completed,1.03,0,1.03,
,Completed,-54,1.03,-52.97,
,Completed,-408.95,0,-408.95,
,Completed,8,0,8,
,Completed,-421.2,8,-413.2,
,Completed,2.27,0,2.27,
,Completed,-109,2.27,-106.73,
,Released,5.34,...,5.34,
,Completed,0.77,0,0.77,
,Completed,-32,0.77,-31.23,
,Completed,-57.8,0,-57.8,
,Completed,-96,0,-96,
,Completed,1.13,0,1.13,
,Completed,-59.4,1.13,-58.27,
,Completed,0.8,0,0.8,
,Completed,-42,0.8,-41.2,
,Completed,3.04,0,3.04,
,Completed,-159.9,3.04,-156.86,
,Completed,0.21,0,0.21,
,Completed,-11,0.21,-10.79,
,Completed,0.39,0,0.39,
,Completed,-20.7,0.39,-20.31,
,Placed,-4.82,...,-4.82,
,Completed,1.76,0,1.76,
,Completed,-92.88,1.76,-91.12,
,Completed,0.62,0,0.62,
,Completed,-32.4,0.62,-31.78,
,Placed,-3.47,...,-3.47,
,Released,2.05,...,2.05,
,Completed,0.95,0,0.95,
,Completed,-41.95,0.95,-41,
300098884,Completed,98.43,-2.07,96.36,
,Completed,0.68,0,0.68,
,Completed,-36,0.68,-35.32,
300098883,Refunded,70.96,-1.5,69.46,
,Completed,2.66,0,2.66,
,Completed,-139.97,2.66,-137.31,
,Completed,0.66,0,0.66,
,Completed,-34.99,0.66,-34.33,
,Completed,0.68,0,0.68,
,Completed,-36,0.68,-35.32,
,Completed,0.62,0,0.62,
,Completed,-32.4,0.62,-31.78,
,Placed,-3.9,...,-3.9,
,Completed,0.53,0,0.53,
,Completed,-28,0.53,-27.47,
,Completed,0.87,0,0.87,
,Completed,-46,0.87,-45.13,
300098882,Completed,79.81,-1.72,78.09,
,Completed,1.03,0,1.03,
,Completed,-54,1.03,-52.97,
,Completed,0.93,0,0.93,
,Completed,-38.35,0.93,-37.42,
,Released,1.87,...,1.87,
,Completed,0.36,0,0.36,
,Completed,-18.9,0.36,-18.54,
,Completed,0.68,0,0.68,
,Completed,-28,0.68,-27.32,
,Released,1.37,...,1.37,
,Completed,0.75,0,0.75,
